Samples,Percent_incis_incr,Percent_incis_decr,Percent_others
SA609-UUUU-B\_to\_UUUU-C,2.25,3.01,94.74
SA609-UUUU_B\_to\_UUUU-H,13.51,3.82,82.67
SA609-UTTT_R\_to\_UUUU-C,9.35,15.91,74.74
SA609-UTTT_R\_to\_UUUU-H,8.55,4.57,86.88
SA609-UTTTT_R\_to\_UUUUU-C,9.96,15.35,74.69
SA609-UTTTT_R\_to\_UUUUU-H,12.27,5.54,82.19
SA1035-UTTTT_G\_to\_UUUUU-E,12.15,9.19,78.66
SA1035-UTTTT_H\_to\_UUUUU-E,14.66,12.05,73.29
SA1035-UTTT_G\_to\_UUUU-E,16,5.63,78.37
SA1035-UTTT_H\_to\_UUUU-E,14.66,8.69,76.65
SA535-UUTTTT_T\_to\__UUUUUU-J,4.5,19.81,75.69
SA535-UUTTT_T\_to\_UUUUU-J,3.59,18.63,77.78
SA535-UUTTT_S_T\_to\_UUUUU-J,3.51,18.53,77.96
SA535-UUTTT_R\_to\_UUUUU-J,2.03,1.54,96.43
SA535-UUTTT_T\_to\_UUUUU-Q,9.89,12.2,77.91
SA535-UUTTT_S_T\_to\_UUUUU-Q,10.42,12.44,77.14
SA535-UUTTT_R\_to\_UUUUU-Q,7.92,4.85,87.23
SA535-UXXXX_U\_to\_UUUUU-J,7.19,18.45,74.36
SA535-UXXXX_U\_to\_UUUUU-Q,11.84,11.59,76.57
SA535-UXXXX_R\_to\_UUUUU-J,6.8,15.94,77.26
SA535-UXXXX_R\_to\_UUUUU-Q,14.37,10.06,75.57
SA535-UXXXX_M_N_O\_to\_UUUUU-J,4.53,18.69,76.78
SA535-UXXXX_M_N_O\_to\_UUUUU-Q,9.27,12.36,78.37